Salesman,User,Timestamp
SalesBot,Are you looking for anything specific?,2024-06-12 10:41:46
Customer,I’m interested in buying a Tablet. Can you provide more information?,2024-06-12 10:41:46
SalesBot,"Certainly, we have a wide range of products to suit your needs.",2024-06-12 10:41:46
Customer,I’m interested in buying a Headphones. Can you provide more information?,2024-06-12 10:41:46
SalesBot,"Certainly, we have a wide range of products to suit your needs.",2024-06-12 10:41:46
SalesBot,Are you looking for anything specific?,2024-06-12 10:41:46
Customer,I’m interested in buying a Laptop. Can you provide more information?,2024-06-12 10:41:46
SalesBot,"Certainly, we have a wide range of products to suit your needs.",2024-06-12 10:41:46
Customer,I’m interested in buying a Smartwatch. Can you provide more information?,2024-06-12 10:41:46
SalesBot,"Certainly, we have a wide range of products to suit your needs.",2024-06-12 10:41:46
SalesBot,"Hello, welcome to our store. How may I assist you today?",2024-06-12 10:41:46
Customer,I’m interested in buying a Smartwatch. Can you provide more information?,2024-06-12 10:41:46
SalesBot,"Certainly, we have a wide range of products to suit your needs.",2024-06-12 10:41:46
Customer,I’m interested in buying a Headphones. Can you provide more information?,2024-06-12 10:41:46
SalesBot,"Certainly, we have a wide range of products to suit your needs.",2024-06-12 10:41:46
SalesBot,"Hello, welcome to our store. How may I assist you today?",2024-06-12 10:41:46
Customer,I’m interested in buying a Smartphone. Can you provide more information?,2024-06-12 10:41:46
SalesBot,"Certainly, we have a wide range of products to suit your needs.",2024-06-12 10:41:46
Customer,I’m interested in buying a Headphones. Can you provide more information?,2024-06-12 10:41:46
SalesBot,"Certainly, we have a wide range of products to suit your needs.",2024-06-12 10:41:46
SalesBot,Are you looking for anything specific?,2024-06-12 10:41:46
Customer,I’m interested in buying a Smartphone. Can you provide more information?,2024-06-12 10:41:46
SalesBot,"Certainly, we have a wide range of products to suit your needs.",2024-06-12 10:41:46
Customer,I’m interested in buying a Smartphone. Can you provide more information?,2024-06-12 10:41:46
SalesBot,"Certainly, we have a wide range of products to suit your needs.",2024-06-12 10:41:46
SalesBot,Would you like to know more about our latest products?,2024-06-12 10:41:46
